Ranking for line to vec score of the best 30 fragments
K.2573
Score                 Weighted Score

K.2573         ,156    K.2573         ,286    
K.7015         ,18     1879,0708.131  ,42     
1879,0708.33   ,17     BM.32533       ,42     
BM.128027      ,17     BM.98745       ,42     
K.9044         ,17     CBS.16         ,42     
K.9117         ,17     K.2024         ,42     
1881,0727.107  ,16     K.2319         ,42     
BM.123482      ,16     K.2354         ,42     
CBS.13999      ,16     K.2392         ,42     
K.13334        ,16     K.4167         ,42     
K.19393        ,16     K.6224         ,42     
K.5796         ,16     K.3033         ,39     
Sm.496         ,16     K.7926         ,39     
Sm.891         ,16     K.8604         ,39     
K.10962        ,15     BM.40090       ,33     
K.11099        ,15     K.11095        ,33     
K.12249        ,15     K.1845         ,33     
K.13391        ,15     K.2657         ,30     
K.13811        ,15     K.4902         ,30     
K.14899        ,15     K.5796         ,30     
K.17219        ,15     K.6080         ,30     
K.18028        ,15     K.7015         ,30     
Sm.374         ,15     1879,0708.33   ,29     
Si.741         ,15     K.12249        ,29     
1879,0708.131  ,14     K.14899        ,29     
BM.123488      ,14     K.17219        ,29     
BM.128097      ,14     K.18028        ,29     
BM.32533       ,14     K.9044         ,29     
BM.59115       ,14     K.9117         ,29     
BM.98745       ,14     Sm.374         ,29     
