,Join,Fragment_1,Fragment_2,ArithNCD,BWTRLENCD,BZ2NCD,Bag,Cosine,DamerauLevenshtein,Editex,EntropyNCD,Gotoh,Hamming,Identity,Jaccard,Jaro,JaroWinkler,LCSSeq,LCSStr,LZMANCD,Length,Levenshtein,MLIPNS,MRA,Matrix,MongeElkan,NeedlemanWunsch,Overlap,Postfix,Prefix,RLENCD,RatcliffObershelp,SmithWaterman,Sorensen,SqrtNCD,StrCmp95,Tanimoto,Tversky,ZLIBNCD
0,K.4016 + K.9850,01112112111211,11211121111121111111111,1.13,0.69,0.26,0.43,0.28,0.48,0.04,0.12,0.26,0.7,1.0,0.46,0.22,0.22,0.48,0.61,0.07,0.39,0.48,1.0,0.5,1.0,0.97,0.43,0.07,0.91,1.0,0.83,0.51,0.29,0.3,0.49,0.22,1.88,0.46,0.33
1,K.4316 + K.20659,"1111111111111111211211, 1111111111111111111111",121111,1.04,0.75,0.26,0.87,0.64,0.87,0.07,0.02,1.43,0.89,1.0,0.87,0.35,0.35,0.87,0.91,0.19,0.87,0.87,1.0,1.0,1.0,0.99,0.87,0.0,0.91,0.98,0.86,0.85,0.17,0.77,0.74,0.35,3.94,0.87,0.53
2,K.4829 + K.21877,"112112112112112112112121121121121121121121121121121, 11211211212112121121212112112112112121211212121211211311",1211211,1.0,0.93,0.46,0.94,0.75,0.94,0.67,0.12,3.0,0.97,1.0,0.94,0.41,0.41,0.94,0.94,0.32,0.94,0.94,1.0,0.5,1.0,1.0,0.94,0.0,0.98,0.99,0.98,0.88,0.14,0.88,0.82,0.41,4.96,0.94,0.66
3,K.4907 (+) K.9332,01111112111111,011111121111111,1.2,0.5,0.1,0.07,0.03,0.07,0.0,0.01,0.04,0.07,1.0,0.07,0.02,0.01,0.07,0.07,0.0,0.07,0.07,0.0,0.0,1.0,0.96,0.07,0.0,0.6,0.07,1.0,0.03,0.07,0.03,0.42,0.02,1.1,0.07,0.31
4,K.5340.A + Sm.1152,11111121111,1121111111,1.0,0.33,0.04,0.09,0.05,0.18,0.0,0.01,0.1,0.27,1.0,0.09,0.06,0.05,0.18,0.36,0.07,0.09,0.18,0.0,0.0,1.0,0.95,0.14,0.0,0.64,0.82,0.6,0.33,0.2,0.05,0.43,0.06,1.14,0.09,0.17
5,K.5653 + K.17347,111111211111111,1111112111,3.0,0.67,0.11,0.33,0.18,0.33,0.0,0.03,0.13,0.33,1.0,0.33,0.11,0.07,0.33,0.33,0.07,0.33,0.33,0.0,0.0,1.0,0.97,0.33,0.0,0.8,0.33,0.6,0.2,0.2,0.2,0.47,0.11,1.58,0.33,0.15
6,K.9876 + K.14070,"0121121211111111121211111111112121111111111212111, 121211111111111111111111111111111111212111115","1121211111115, 0111121211",1.05,0.71,0.33,0.74,0.49,0.76,0.14,0.06,0.66,0.86,1.0,0.74,0.35,0.35,0.76,0.88,0.22,0.74,0.76,1.0,1.0,1.0,0.99,0.75,0.0,1.0,1.0,1.0,0.65,0.4,0.59,0.57,0.35,2.94,0.74,0.59
7,K.10802 + K.16720,012121121212121,012121,1.05,0.38,0.08,0.6,0.37,0.6,0.53,0.03,0.35,0.6,1.0,0.6,0.2,0.12,0.6,0.6,0.21,0.6,0.6,1.0,0.0,1.0,0.97,0.6,0.0,0.67,0.6,1.0,0.43,0.17,0.43,0.54,0.2,2.32,0.6,0.46
8,K.2459 + K.14899,0111121212121212121211211,121212121212121,1.12,0.86,0.29,0.4,0.23,0.4,0.2,0.06,0.17,0.52,1.0,0.4,0.27,0.27,0.4,0.4,0.14,0.4,0.4,1.0,0.5,1.0,0.98,0.4,0.0,0.96,1.0,0.96,0.25,0.13,0.25,0.55,0.27,1.74,0.4,0.38
9,K.191 + K.22170,12111212112111211121,121121,0.83,0.5,0.12,0.7,0.45,0.7,0.35,0.0,0.52,0.8,1.0,0.7,0.29,0.17,0.7,0.7,0.19,0.7,0.7,1.0,0.5,1.0,0.97,0.7,0.0,0.8,0.8,1.0,0.54,0.17,0.54,0.59,0.29,2.74,0.7,0.24
