_id,text,error
"1880,0719.285","Alu, thorns (@akk{{u₂}AD₂/KIŠI₁₆})? [ER]","Invalid markup: Alu, thorns ({u₂}AD₂/KIŠI₁₆)? [ER]. No terminal defined for '{' at line 1 col 14

Alu, thorns ({u₂}AD₂/KIŠI₁₆)? [ER]
             ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
"1881,0727.69","cf. K.20101, maybe a join? [ZsF]
-> unfortunately no (compare overlap in @akk{DUB} of @akk{{lu₂}GAL DUB.SAR-MEŠ}) but still same type of colophon [TM] 

Is this BRONCHIA II? (compare K.2614) [TM]","Invalid markup: cf. K.20101, maybe a join? [ZsF]
-> unfortunately no (compare overlap in DUB of {lu₂}GAL DUB.SAR-MEŠ) but still same type of colophon [TM] 

Is this BRONCHIA II? (compare K.2614) [TM]. No terminal defined for '{' at line 1 col 81

rtunately no (compare overlap in DUB of {lu₂}GAL DUB.SAR-MEŠ) but still same typ
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.121072,Eršema @sux{dilmun{ki} nigin-na} 1,"Invalid markup: Eršema dilmun{ki} nigin-na 1. No terminal defined for '{' at line 1 col 14

Eršema dilmun{ki} nigin-na 1
             ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.123407,"Lexical, @i{Harra} I 178-187; // Ni.1893, i 3'-10' [AH]","Invalid markup: Lexical, @{Harra} I 178-187; // Ni.1893, i 3'-10' [AH]. No terminal defined for '{' at line 1 col 11

Lexical, @{Harra} I 178-187; // Ni.1893, i 3'-10' 
          ^
Expected one of: 
	* ebl_atf_text_line__LANGUAGE
"
BM.31475,"Obv // Uḫ XIII/XV 71–84a, Rev (a) bilingual (@sux{{d}lugal-amaš-pa-e₃-a} || bennu), (b) Bīt rimki III (// SpTU III 67 i 1-6) [EJ]","Invalid markup: Obv // Uḫ XIII/XV 71–84a, Rev (a) bilingual ({d}LUGAL.AMAŠ.PA.È.A || bennu), (b) Bīt rimki III (// SpTU III 67 i 1-6) [EJ]. No terminal defined for '{' at line 1 col 46

/ Uḫ XIII/XV 71–84a, Rev (a) bilingual ({d}LUGAL.AMAŠ.PA.È.A || bennu), (b) Bīt 
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.32631,"Seed of Kingship? [EJ]
rather @sux{u₃ ĝa₂-e {d}+en-lil₂-la₂}? [TM]","Invalid markup: Seed of Kingship? [EJ]
rather u₃ ĝa₂-e {d}+en-lil₂-la₂? [TM]. No terminal defined for '{' at line 1 col 40

Seed of Kingship? [EJ] rather u₃ ĝa₂-e {d}+en-lil₂-la₂? [TM]
                                       ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.33868,"Same tablet as BM.33725 ? (no photo, only Strassmaier’s notes) [EJ]

(""Rm-IV.430. Ein Stück einer großen Tafel, siehe [sketch, right edge], nur mit Schreibübung DIŠ ZU, LAM, LAM×KUR usw.; Rückseite @akk{{munus?#}-re-ʾ-in-du a-ha-[x (x)]} usw. ohne allen Wert, Rückseite Reste von 5 Zeilen, Vorderseite 25 Zeichen untereinander in drei Reihen. — Ohne allen Wert —"" [JNS])","Invalid markup: Same tablet as BM.33725 ? (no photo, only Strassmaier’s notes) [EJ]

(""Rm-IV.430. Ein Stück einer großen Tafel, siehe [sketch, right edge], nur mit Schreibübung DIŠ ZU, LAM, LAM×KUR usw.; Rückseite {munus?#}-re-ʾ-in-du a-ha-[x (x)] usw. ohne allen Wert, Rückseite Reste von 5 Zeilen, Vorderseite 25 Zeichen untereinander in drei Reihen. — Ohne allen Wert —"" [JNS]). No terminal defined for '{' at line 1 col 130

ng DIŠ ZU, LAM, LAM×KUR usw.; Rückseite {munus?#}-re-ʾ-in-du a-ha-[x (x)] usw. o
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.35273,compare SBH 14 (@akk{MU.164.KAM {m}a-lik-sa-an-dar LUGAL}),"Invalid markup: compare SBH 14 (MU.164.KAM {m}a-lik-sa-an-dar LUGAL). No terminal defined for '{' at line 1 col 28

compare SBH 14 (MU.164.KAM {m}a-lik-sa-an-dar LUGAL)
                           ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.35423,@akk{[...] {u₂}GAMUN{s[ar} ...]},"Invalid markup: [...] {u₂}GAMUN{s[ar} ...]. No terminal defined for '{' at line 1 col 7

[...] {u₂}GAMUN{s[ar} ...]
      ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.36148,"@sux{za-ha-da} = @i{magšaru} ?
@sux{{urudu}šen-du-us₂-sa} = @i{kibirru}
@sux{aga-silig-ga} = @i{agasalamakku}; @i{kalmakru}

weapons of Ninurta mentioned [EJ]","Invalid markup: za-ha-da = magšaru ?
{urudu}šen-du-us₂-sa = kibirru
aga-silig-ga = agasalamakku; kalmakru

weapons of Ninurta mentioned [EJ]. No terminal defined for '{' at line 1 col 22

za-ha-da = magšaru ? {urudu}šen-du-us₂-sa = kibirru aga-silig
                     ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
